image,acne,wrinkles
acne/acne0/levle0_1.jpg,0.0,0.0
acne/acne0/levle0_10.jpg,0.0,0.0
acne/acne0/levle0_100.jpg,0.0,0.0
acne/acne0/levle0_101.jpg,0.0,0.0
acne/acne0/levle0_102.jpg,0.0,0.0
acne/acne0/levle0_103.jpg,0.0,0.0
acne/acne0/levle0_104.jpg,0.0,0.0
acne/acne0/levle0_105.jpg,0.0,0.0
acne/acne0/levle0_106.jpg,0.0,0.0
acne/acne0/levle0_107.jpg,0.0,0.0
acne/acne0/levle0_108.jpg,0.0,0.0
acne/acne0/levle0_109.jpg,0.0,0.0
acne/acne0/levle0_110.jpg,0.0,0.0
acne/acne0/levle0_111.jpg,0.0,0.0
acne/acne0/levle0_112.jpg,0.0,0.0
acne/acne0/levle0_113.jpg,0.0,0.0
acne/acne0/levle0_114.jpg,0.0,0.0
acne/acne0/levle0_115.jpg,0.0,0.0
acne/acne0/levle0_116.jpg,0.0,0.0
acne/acne0/levle0_117.jpg,0.0,0.0
acne/acne0/levle0_118.jpg,0.0,0.0
acne/acne0/levle0_119.jpg,0.0,0.0
acne/acne0/levle0_120.jpg,0.0,0.0
acne/acne0/levle0_121.jpg,0.0,0.0
acne/acne0/levle0_122.jpg,0.0,0.0
acne/acne0/levle0_123.jpg,0.0,0.0
acne/acne0/levle0_124.jpg,0.0,0.0
acne/acne0/levle0_125.jpg,0.0,0.0
acne/acne0/levle0_126.jpg,0.0,0.0
acne/acne0/levle0_127.jpg,0.0,0.0
acne/acne0/levle0_128.jpg,0.0,0.0
acne/acne0/levle0_129.jpg,0.0,0.0
acne/acne0/levle0_130.jpg,0.0,0.0
acne/acne0/levle0_131.jpg,0.0,0.0
acne/acne0/levle0_132.jpg,0.0,0.0
acne/acne0/levle0_133.jpg,0.0,0.0
acne/acne0/levle0_134.jpg,0.0,0.0
acne/acne0/levle0_135.jpg,0.0,0.0
acne/acne0/levle0_136.jpg,0.0,0.0
acne/acne0/levle0_137.jpg,0.0,0.0
acne/acne0/levle0_138.jpg,0.0,0.0
acne/acne0/levle0_139.jpg,0.0,0.0
acne/acne0/levle0_140.jpg,0.0,0.0
acne/acne0/levle0_141.jpg,0.0,0.0
acne/acne0/levle0_142.jpg,0.0,0.0
acne/acne0/levle0_143.jpg,0.0,0.0
acne/acne0/levle0_144.jpg,0.0,0.0
acne/acne0/levle0_145.jpg,0.0,0.0
acne/acne0/levle0_146.jpg,0.0,0.0
acne/acne0/levle0_147.jpg,0.0,0.0
acne/acne0/levle0_148.jpg,0.0,0.0
acne/acne0/levle0_149.jpg,0.0,0.0
acne/acne0/levle0_15.jpg,0.0,0.0
acne/acne0/levle0_150.jpg,0.0,0.0
acne/acne0/levle0_151.jpg,0.0,0.0
acne/acne0/levle0_152.jpg,0.0,0.0
acne/acne0/levle0_153.jpg,0.0,0.0
acne/acne0/levle0_154.jpg,0.0,0.0
acne/acne0/levle0_155.jpg,0.0,0.0
acne/acne0/levle0_156.jpg,0.0,0.0
acne/acne0/levle0_157.jpg,0.0,0.0
acne/acne0/levle0_158.jpg,0.0,0.0
acne/acne0/levle0_159.jpg,0.0,0.0
